"","name","address","category"
"178","가람푸드원","경상남도 진주시 집현면 진주성로 513","서비스,산업 > 기업"
"179","힐링푸드","경상남도 거창군 남상면 밤티재로 708","제조업 > 식료품제조"
"180","리안푸드","경상남도 김해시 진례면 고모로 442 26-108","제조업 > 면류제조"
"181","드림푸드","경상남도 김해시 주촌면 서부로1403번길 23-66","쇼핑,유통 > 식료품"
"182","프레쉬푸드","경상남도 거제시 연초면 송정1길 27","음식 > 급식"
"183","거창군로컬푸드행복장터","경상남도 거창군 가조면 가조가야로 1543-81","쇼핑,유통 > 농수산물"
"184","온그린푸드","경상남도 김해시 한림면 한림로342번길 24-1 한마을아파트 상가","음식점 > 야식"
"185","롯데푸드 김해물류센터","경상남도 김해시 김해대로2662번길 27-33","물류,유통 > 물류센터"
"186","태광푸드서비스","경상남도 창원시 의창구 동읍 의창대로 846","쇼핑,유통 > 닭"
"187","패밀리푸드시스템","경상남도 창원시 마산합포구 진동면 신기남산길 120-90","서비스,산업 > 기업"
"188","경성푸드","경상남도 양산시 신명동8길 26","음식점 > 한식"
"189","무발푸드","경상남도 함안군 법수면 윤외리 1759-3","한식 > 한정식"
"190","씨에이치푸드","경상남도 김해시 율하2로3번길 14","제조업 > 식료품제조"
"191","농업회사법인리치푸드시스템","경상남도 밀양시 삼랑진읍 검세길 170","서비스,산업 > 기업"
"192","동원홈푸드","경상남도 양산시 어곡공단2길 6","음식 > 급식"
"193","거람푸드","경상남도 창원시 성산구 마디미서로 3 301호 세중빌딩","제조업 > 육류가공,제조"
"194","진해기초푸드뱅크","경상남도 창원시 진해구 진해대로 1101","사회,복지 > 사회복지단체"
"195","동원푸드","경상남도 양산시 상북면 충렬로 574","쇼핑,유통 > 축산업용품"
"196","신푸드","경상남도 창원시 의창구 신사로 79","음식점 > 한식"
"197","프랜푸드","경상남도 양산시 산막공단북11길 116-18","제조업 > 식료품가공기계제조"
"198","제이엠푸드 경남영업소","경상남도 창원시 의창구 남산로1번길 46 대성빌딩","서비스,산업 > 농업"
"199","스킨푸드김해율하점","경상남도 김해시 율하3로 46","쇼핑,유통 > 화장품,향수"
"200","성보푸드","경상남도 사천시 삼천포대교로 909","제조업 > 육류가공,제조"
"201","농업회사법인진양푸드","경상남도 김해시 칠산로387번길 43-1","제조업 > 식료품제조"
"202","신미푸드시스템","경상남도 창원시 의창구 대산면 진산대로260번길 152 신미푸드시스템","음식점 > 치킨,닭강정"
"203","김해로컬푸드영농조합법인","경상남도 김해시 칠산로265번길 6-18","서비스,산업 > 기업"
"204","대동농협로컬푸드사업단","경상남도 김해시 대동면 동남로49번길 27","제조업 > 식료품제조"
"205","스킨푸드 남지점","경상남도 창녕군 남지읍 낙동로 505","쇼핑,유통 > 화장품,향수"
"206","한일푸드","경상남도 양산시 상북면 석계로 55","음식 > 급식"
"207","포시즌푸드","경상남도 창원시 의창구 동읍 무성길47번길 30","제조업 > 조미료,식품첨가물제조"
"208","산하푸드","경상남도 합천군 합천읍 대야로 1184","제조업 > 식료품제조"
"209","JS푸드","경상남도 통영시 새터길 42-6","쇼핑,유통 > 수산물"
"210","도원푸드웰","경상남도 진주시 집현면 진주성로 511","음식 > 급식"
"211","농업회사법인진양푸드","경상남도 김해시 칠산로387번길 43-1","제조업 > 식료품제조"
"212","신미푸드시스템","경상남도 창원시 의창구 대산면 진산대로260번길 152 신미푸드시스템","음식점 > 치킨,닭강정"
"213","김해로컬푸드영농조합법인","경상남도 김해시 칠산로265번길 6-18","서비스,산업 > 기업"
"214","대동농협로컬푸드사업단","경상남도 김해시 대동면 동남로49번길 27","제조업 > 식료품제조"
"215","스킨푸드 남지점","경상남도 창녕군 남지읍 낙동로 505","쇼핑,유통 > 화장품,향수"
"216","한일푸드","경상남도 양산시 상북면 석계로 55","음식 > 급식"
"217","포시즌푸드","경상남도 창원시 의창구 동읍 무성길47번길 30","제조업 > 조미료,식품첨가물제조"
"218","산하푸드","경상남도 합천군 합천읍 대야로 1184","제조업 > 식료품제조"
"219","JS푸드","경상남도 통영시 새터길 42-6","쇼핑,유통 > 수산물"
"220","도원푸드웰","경상남도 진주시 집현면 진주성로 511","음식 > 급식"
"221","도깨비푸드","경상남도 진주시 장대로 4-1","음식점 > 한식"
"222","정다운푸드","경상남도 양산시 상북면 소토로 27","음식점 > 한식"
"223","진푸드","경상남도 창원시 진해구 태평로34번길 11","쇼핑,유통 > 가공식품"
"224","스킨푸드 김해메가마트","경상남도 김해시 김해대로2492번길 20 메가마트김해점 스킨푸드 1층","쇼핑,유통 > 화장품,향수"
"225","셰프리푸드트럭김해아울렛점","경상남도 김해시 신문동 72-19","카페,디저트 > 베이커리"
"226","우솔푸드","경상남도 창원시 마산합포구 진동면 태봉2길 210","쇼핑,유통 > 젓갈"
"227","태흥푸드","경상남도 거제시 양정5길 2","쇼핑,유통 > 식료품"
"228","서원푸드","경상남도 양산시 명동2길 14-5","한식 > 한정식"
"229","한라21푸드","경상남도 양산시 고향의봄10길 28","서비스,산업 > 축산업"
"230","상동로컬푸드떡체험장","경상남도 밀양시 상동면 안인로 224","여행,명소 > 체험여행"
"231","원미푸드","경상남도 창원시 마산합포구 진동면 해양관광로 70-76","제조업 > 수산물가공,제조"
"232","네오푸드앤조이입구","경상남도 김해시 부곡동","도로시설 > 방면정보"
"233","진성푸드","경상남도 김해시 주촌면 서부로1403번길 23-66","쇼핑,유통 > 식료품"
"234","농업회사법인비엠푸드","경상남도 창원시 의창구 정렬대로 92","서비스,산업 > 기업"
"235","서원푸드","경상남도 창원시 성산구 중앙대로 111 평화상가오피스텔","쇼핑,유통 > 가공식품"
"236","홍푸드","경상남도 진주시 나불로 186","서비스,산업 > 물류,유통"
"237","대민푸드","경상남도 거제시 상동13길 18","음식 > 급식"
"238","SL아시아푸드","경상남도 김해시 가락로64번길 7","음식점 > 아시아음식"
"239","퀸즈푸드","경상남도 창원시 의창구 태복산로31번길 26","제조업 > 식료품제조"
"240","월드푸드용원점","경상남도 창원시 진해구 용원로 116","쇼핑,유통 > 슈퍼,마트"
"241","계진푸드","경상남도 거창군 마리면 거안로 487-81","제조업 > 육류가공,제조"
"242","삼흥푸드고기농장","경상남도 진주시 월아산로 2018","쇼핑,유통 > 축산업용품"
"243","구미푸드","경상남도 양산시 동면 금오12길 12","쇼핑,유통 > 가공식품"
"244","푸드밸리","경상남도 창원시 의창구 차상로8번길 8","서비스,산업 > 기업"
"245","그린푸드 세아FS점","경상남도 김해시 진영읍 본산로 153-26","서비스,산업 > 기업"
"246","파파푸드농업회사법인","경상남도 거창군 거창읍 수남로 2035-13","쇼핑,유통 > 종합도소매"
"247","엠제이푸드","경상남도 김해시 주촌면 서부로1341번길 26","제조업 > 식료품제조"
"248","바이올푸드입구","경상남도 양산시 상북면 소토리","도로시설 > 방면정보"
"249","해피푸드","경상남도 창원시 진해구 충장로575번길 42","제조업 > 식료품제조"
"250","우포바이오푸드","경상남도 창녕군 대합면 수장퇴산로 33-17","쇼핑,유통 > 가공식품"
"251","미림푸드","경상남도 양산시 웅비공단길 64","음식점 > 한식"
"252","나누미푸드마켓","경상남도 통영시 안개로 36-43","쇼핑,유통 > 슈퍼,마트"
"253","성화푸드","경상남도 김해시 분성로727번길 5-11","제조업 > 육류가공,제조"
"254","조은푸드","경상남도 함안군 칠원읍 경남대로 1819 조은푸드","음식 > 급식"
"255","맑은푸드영농조합법인","경상남도 사천시 대례길 28-17","쇼핑,유통 > 농수산물"
"256","푸드앤헬스원","경상남도 양산시 물금읍 신주로 66","쇼핑,유통 > 식료품"
"257","푸드벅스","경상남도 김해시 칠산로459번길 3","쇼핑,유통 > 식료품"
"258","로컬푸드특산물판매장","경상남도 밀양시 안인로 224","쇼핑,유통 > 특산물,관광민예품"
"259","경상푸드","경상남도 진주시 남강로 1369","제조업 > 육류가공,제조"
"260","MJ푸드","경상남도 김해시 진영읍 서부로378번길 32","제조업 > 식료품제조"
"261","미림푸드","경상남도 양산시 웅비공단길 64","음식점 > 한식"
"262","나누미푸드마켓","경상남도 통영시 안개로 36-43","쇼핑,유통 > 슈퍼,마트"
"263","성화푸드","경상남도 김해시 분성로727번길 5-11","제조업 > 육류가공,제조"
"264","조은푸드","경상남도 함안군 칠원읍 경남대로 1819 조은푸드","음식 > 급식"
"265","맑은푸드영농조합법인","경상남도 사천시 대례길 28-17","쇼핑,유통 > 농수산물"
"266","푸드앤헬스원","경상남도 양산시 물금읍 신주로 66","쇼핑,유통 > 식료품"
"267","푸드벅스","경상남도 김해시 칠산로459번길 3","쇼핑,유통 > 식료품"
"268","로컬푸드특산물판매장","경상남도 밀양시 안인로 224","쇼핑,유통 > 특산물,관광민예품"
"269","경상푸드","경상남도 진주시 남강로 1369","제조업 > 육류가공,제조"
"270","MJ푸드","경상남도 김해시 진영읍 서부로378번길 32","제조업 > 식료품제조"
"271","새한푸드","경상남도 창녕군 계성면 광계로 393","제조업 > 식료품제조"
"272","선진포크 신선푸드","경상남도 진주시 석갑로155번길 55","쇼핑,유통 > 육류"
"273","거제로컬푸드","경상남도 거제시 거제대로 3697-25 상가동 105호","음식점 > 카페,디저트"
"274","만나홈푸드","경상남도 거제시 중곡로2길 29","음식점 > 도시락,컵밥"
"275","늘품푸드","경상남도 창원시 마산합포구 진동면 신서촌1길 22","쇼핑,유통 > 식료품"
"276","금강축산 우정푸드","경상남도 밀양시 노상하4길 40","제조업 > 육류가공,제조"
"277","만기푸드","경상남도 의령군 의령읍 의병로14길 18","쇼핑,유통 > 식료품"
"278","도담푸드웰","경상남도 진주시 큰들로 56","제조업 > 빵류제조"
"279","알프스푸드마켓입구","경상남도 하동군 하동읍 화심리","도로시설 > 방면정보"
"280","대방푸드","경상남도 김해시 분성로541번길 52","쇼핑,유통 > 닭"
"281","제이&엠푸드시스템","경상남도 양산시 주남동239-15","서비스,산업 > 기업"
"282","알앤제이푸드","경상남도 창원시 마산합포구 진동면 신서촌1길 48 소담A","쇼핑,유통 > 반찬가게"
